country,location,collected by,populations,individuals,Pyrms233-234,Pyrms319-320,Pyrms37-38,Pyrms427-428,Pyrms47-48,Pyrms607-608,Pyrms63-64,Pyrms657-658,Pyrms77b-78b,Pyrms83-84,Pyrms177b-178b,Pyrms385-386,Pyrms685-686,Pyrms261-262,Pyrms637b-638b,Pyrms221c-222c,Pyrms683b-684b
China,Yunnan,Didier Tharreau,CH1-2008,CH0997,253,284,205,225,173,281,161,166,216,112,0,161,193,226,0,177,0
China,Yunnan,Didier Tharreau,CH1-2008,CH0998,253,284,205,229,163,270,161,168,188,109,88,161,196,240,136,165,211
China,Yunnan,Didier Tharreau,CH1-2008,CH0999,253,284,205,213,165,281,151,168,220,109,92,163,172,234,136,177,211
China,Yunnan,Didier Tharreau,CH1-2008,CH1000,274,287,201,213,163,273,149,166,194,112,88,169,193,234,136,165,215
China,Yunnan,Didier Tharreau,CH1-2008,CH1001,253,284,205,223,173,284,161,166,188,112,92,169,196,244,136,165,211
China,Yunnan,Didier Tharreau,CH1-2008,CH1002,253,284,205,239,175,284,169,166,216,112,74,0,193,246,136,177,207
China,Yunnan,Didier Tharreau,CH1-2008,CH1003,253,287,205,211,163,281,163,166,194,112,98,161,193,248,136,177,287
China,Yunnan,Didier Tharreau,CH1-2008,CH1004,253,284,205,227,173,284,161,168,220,109,74,161,196,240,139,165,185
China,Yunnan,Didier Tharreau,CH1-2008,CH1005,253,284,207,223,165,278,163,170,196,109,92,161,196,246,136,177,211
China,Yunnan,Didier Tharreau,CH1-2008,CH1006,253,284,205,223,173,284,161,166,188,112,92,169,196,244,136,165,211
China,Yunnan,Didier Tharreau,CH1-2008,CH1007,253,284,205,225,165,278,163,170,216,109,92,161,190,242,136,165,211
China,Yunnan,Didier Tharreau,CH1-2008,CH1008,253,284,205,211,175,284,169,166,218,115,88,161,196,224,136,177,211
China,Yunnan,Didier Tharreau,CH1-2008,CH1009,253,284,205,223,173,284,163,168,196,109,74,163,196,246,136,177,211
China,Yunnan,Didier Tharreau,CH1-2008,CH1010,253,284,205,225,165,278,151,170,216,109,92,161,190,242,136,165,211
China,Yunnan,Didier Tharreau,CH1-2008,CH1011,253,287,199,211,169,284,165,166,194,106,94,167,193,221,142,169,235
China,Yunnan,Didier Tharreau,CH1-2008,CH1012,253,284,205,225,165,278,165,170,216,109,92,161,190,242,136,165,211
China,Yunnan,Didier Tharreau,CH1-2008,CH1013,253,287,199,211,169,284,165,166,194,118,94,167,193,221,142,169,235
China,Yunnan,Didier Tharreau,CH1-2008,CH1014,253,287,207,239,175,284,163,168,196,112,88,163,196,214,139,177,185
China,Yunnan,Didier Tharreau,CH1-2008,CH1015,253,284,205,225,165,278,0,170,216,109,92,161,190,242,136,165,211
China,Yunnan,Didier Tharreau,CH1-2008,CH1016,253,287,199,211,169,284,165,166,194,118,94,167,193,221,142,169,235
China,Yunnan,Didier Tharreau,CH1-2008,CH1017,0,284,205,211,163,284,161,170,216,109,92,161,193,232,136,177,211
China,Yunnan,Didier Tharreau,CH1-2008,CH1018,253,284,207,223,165,287,163,166,196,112,92,163,196,234,136,177,185
China,Yunnan,Didier Tharreau,CH1-2008,CH1019,253,284,205,225,165,278,173,168,200,109,88,161,193,240,139,161,211
China,Yunnan,Didier Tharreau,CH1-2008,CH1020,253,287,205,213,173,278,151,166,194,109,96,161,193,238,136,181,247
Thailand,near Chiang Mai,-,TH,TH0002,250,284,197,211,165,284,151,168,194,112,86,161,196,0,139,165,215
Thailand,near Chiang Mai,-,TH,TH0003,253,284,199,221,163,281,149,166,218,109,90,161,199,221,139,165,215
Thailand,near Chiang Mai,-,TH,TH0011,253,287,199,211,165,284,149,166,218,109,100,0,196,221,139,165,295
Thailand,near Chiang Mai,-,TH,TH0012,253,284,199,221,163,281,149,166,0,109,90,161,199,221,139,165,215
Thailand,near Chiang Mai,-,TH,TH0013,253,284,199,213,163,284,0,166,216,109,84,157,196,214,139,165,223
Thailand,near Chiang Mai,-,TH,TH0014,253,284,199,213,163,284,149,166,218,109,88,0,196,225,139,165,211
Thailand,near Chiang Mai,-,TH,TH0015,253,284,199,213,163,284,149,166,218,109,88,161,196,225,139,165,211
Thailand,near Chiang Mai,-,TH,TH0016,253,284,199,213,163,284,149,166,218,109,90,163,172,219,139,165,219
Thailand,near Chiang Mai,-,TH,TH0017,253,284,203,211,163,281,165,166,218,109,84,0,196,219,139,165,223
Thailand,near Chiang Mai,-,TH,TH0018,253,284,199,215,0,284,149,166,216,109,100,163,196,221,139,165,295
Thailand,near Chiang Mai,-,TH,TH0019,253,284,199,215,169,284,165,166,216,109,74,0,196,212,139,165,251
Thailand,near Chiang Mai,-,TH,TH0020,253,284,199,213,163,284,149,166,218,109,90,163,172,219,139,165,215
Thailand,near Chiang Mai,-,TH,TH0023,253,284,199,213,163,284,149,166,218,109,90,163,172,219,139,165,215
Thailand,near Chiang Mai,-,TH,TH0026,253,284,207,211,169,281,165,166,220,109,0,161,0,214,139,165,223
Thailand,near Chiang Mai,-,TH,TH0027,253,284,199,213,163,284,149,166,218,118,90,163,172,219,139,165,215
Thailand,near Chiang Mai,-,TH,TH0028,253,284,197,211,165,281,165,166,222,109,84,161,196,214,139,165,223
Thailand,near Chiang Mai,-,TH,TH0030,253,284,207,215,163,284,151,166,0,112,84,163,196,219,136,177,211
Thailand,near Chiang Mai,-,TH,TH0031,253,284,205,213,163,284,149,166,220,112,92,163,215,219,139,165,215
Thailand,near Chiang Mai,-,TH,TH0032,253,284,207,211,0,281,165,166,222,109,84,161,196,214,139,165,223
Thailand,near Chiang Mai,-,TH,TH0033,253,287,207,215,169,281,149,166,218,118,84,163,199,221,139,165,227
Thailand,near Chiang Mai,-,TH,TH0034,253,284,207,211,169,281,165,166,222,109,84,161,196,214,139,165,223
Thailand,near Chiang Mai,-,TH,TH0035,253,284,207,211,0,281,165,166,222,109,84,161,196,214,139,165,223
Thailand,near Chiang Mai,-,TH,TH0036-1,253,284,207,211,0,281,165,166,222,109,84,161,196,214,139,165,223
Thailand,near Chiang Mai,-,TH,TH0036-2,253,284,203,229,165,284,163,168,222,112,86,161,196,252,139,173,211
Thailand,near Chiang Mai,-,TH,TH0036-3,253,284,207,219,163,281,165,166,218,109,96,161,199,216,139,165,223
Thailand,near Chiang Mai,-,TH,TH0037,253,284,207,207,0,281,165,166,218,109,84,0,196,214,139,165,223
Thailand,near Chiang Mai,-,TH,TH0038-1,253,284,207,211,169,281,165,166,222,109,84,0,196,214,139,165,223
China,Hunan,Ying Shen,CH2,CH0675,268,290,197,213,169,281,149,166,194,112,72,161,190,218,139,161,239
China,Hunan,Ying Shen,CH2,CH0676,268,290,197,217,169,281,149,166,194,118,72,161,190,214,139,161,239
China,Hunan,Ying Shen,CH2,CH0677,265,287,197,229,165,281,149,168,194,112,72,161,190,232,139,161,279
China,Hunan,Ying Shen,CH2,CH0678,268,287,197,241,173,281,149,168,194,112,92,161,196,212,139,181,349
China,Hunan,Ying Shen,CH2,CH0679,253,284,197,211,165,281,151,168,196,118,72,161,190,232,139,161,279
China,Hunan,Ying Shen,CH2,CH0680,253,284,197,211,165,281,151,168,196,112,72,161,190,232,139,161,263
China,Hunan,Ying Shen,CH2,CH0681,253,284,197,211,179,281,151,168,196,118,72,161,190,232,139,161,279
China,Hunan,Ying Shen,CH2,CH0682,253,284,197,211,0,281,151,168,196,112,72,161,190,232,139,161,279
China,Hunan,Ying Shen,CH2,CH0683,253,284,197,211,165,281,151,168,196,112,72,161,190,232,139,161,279
China,Hunan,Ying Shen,CH2,CH0684,253,284,197,211,165,281,151,168,196,112,72,161,190,232,139,161,279
China,Hunan,Ying Shen,CH2,CH0686,265,287,197,229,165,281,149,168,194,112,90,173,196,238,139,153,203
China,Hunan,Ying Shen,CH2,CH0687,253,284,197,211,165,281,151,168,196,112,72,161,190,232,139,161,279
China,Hunan,Ying Shen,CH2,CH0688,253,284,197,211,165,281,151,168,196,112,72,161,190,234,139,161,279
China,Hunan,Ying Shen,CH2,CH0689,268,290,197,213,165,281,149,166,194,112,96,175,193,250,139,153,235
China,Hunan,Ying Shen,CH2,CH0690,253,290,197,211,165,281,151,168,196,112,92,161,196,212,139,181,349
China,Hunan,Ying Shen,CH2,CH0691,253,284,197,211,165,281,151,168,196,112,72,161,190,214,139,161,239
China,Hunan,Ying Shen,CH2,CH0692,253,284,197,211,165,281,151,168,196,112,72,161,190,232,139,161,279
China,Hunan,Ying Shen,CH2,CH0693,253,284,197,211,165,281,151,168,196,112,92,161,196,212,139,181,349
China,Hunan,Ying Shen,CH2,CH0694,253,287,199,213,167,284,149,166,222,100,92,161,196,212,139,181,349
China,Hunan,Ying Shen,CH2,CH0695,253,287,199,213,167,284,149,166,196,133,72,161,190,232,139,161,279
China,Hunan,Ying Shen,CH2,CH0696,253,287,199,213,167,284,149,166,222,133,72,161,190,232,139,161,279
China,Hunan,Ying Shen,CH2,CH0697,253,287,199,213,167,284,149,166,222,97,72,161,190,214,139,161,235
China,Hunan,Ying Shen,CH2,CH0698,253,287,199,213,167,284,149,166,222,133,72,161,190,214,139,161,235
China,Hunan,Ying Shen,CH2,CH0699,253,287,199,213,167,284,149,166,222,97,72,161,190,214,139,161,239
China,Hunan,Ying Shen,CH2,CH0700,253,287,199,213,167,284,149,166,222,133,72,161,190,232,139,161,279
China,Hunan,Ying Shen,CH2,CH0701,253,287,199,213,167,284,149,166,222,133,92,161,196,212,0,181,349
China,Hunan,Ying Shen,CH2,CH0702,253,287,199,213,167,284,149,166,222,136,92,161,196,212,139,181,349
China,Hunan,Ying Shen,CH2,CH0703,253,287,199,213,167,284,149,166,222,133,72,161,190,232,139,161,279
